Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
223,Mike James\jamesmi01,PG,34,WAS,4,0,11.5,1.5,5,0.3,0.5,1.5,0.333,1,3.5,0.286,0.35,1,2,0.5,0.3,0.5,0.8,1.3,0.8,0,1.3,0.8,4.5
224,Antawn Jamison\jamisan01,PF,33,TOT,66,64,36.5,7.2,15.7,0.461,1.3,3.7,0.344,6,12,0.498,0.502,2.9,4.5,0.647,2.1,6.3,8.4,1.3,1.1,0.3,1.4,2.7,18.7
224,Antawn Jamison\jamisan01,PF,33,WAS,41,41,38.9,7.7,17.1,0.45,1.4,4.1,0.345,6.3,13,0.483,0.491,3.7,5.3,0.7,2.4,6.4,8.8,1.3,1,0.2,1.5,2.7,20.5
224,Antawn Jamison\jamisan01,PF,33,CLE,25,23,32.4,6.5,13.4,0.485,1.1,3.2,0.342,5.4,10.3,0.529,0.525,1.7,3.3,0.506,1.5,6.2,7.7,1.3,1.1,0.5,1.2,2.7,15.8
225,Nathan Jawai\jawaina01,C,23,MIN,39,2,10.6,1.3,2.8,0.441,0,0,0,1.3,2.8,0.445,0.441,0.7,1,0.684,1.3,1.4,2.7,0.6,0.3,0.2,0.7,1.5,3.2
226,Othyus Jeffers\jeffeot01,SG,24,UTA,14,0,5.2,0.9,2.1,0.414,0,0,,0.9,2.1,0.414,0.414,0.9,1.4,0.684,0.6,0.8,1.4,0.1,0.3,0,0.4,0.7,2.6
227,Al Jefferson\jeffeal01,C,25,MIN,76,76,32.4,7.4,14.8,0.498,0,0.1,0,7.4,14.8,0.5,0.498,2.4,3.5,0.68,2.4,6.9,9.3,1.8,0.8,1.3,1.8,2.7,17.1
228,Richard Jefferson\jefferi01,SF,29,SAS,81,70,31.1,4.5,9.6,0.467,0.7,2.3,0.316,3.7,7.3,0.515,0.505,2.6,3.5,0.735,0.7,3.7,4.4,2,0.6,0.5,1.3,2.2,12.3
229,Jared Jeffries\jeffrja01,PF-SF,28,TOT,70,37,25.6,2,4.5,0.439,0.3,1,0.296,1.7,3.5,0.481,0.473,1.1,1.7,0.625,1.9,2.3,4.1,1.4,0.9,1,1.1,2.9,5.3
229,Jared Jeffries\jeffrja01,PF,28,NYK,52,37,28.1,2,4.4,0.443,0.4,1.2,0.323,1.6,3.2,0.488,0.487,1.2,1.8,0.645,1.9,2.4,4.3,1.6,1,1.1,1.2,3,5.5
229,Jared Jeffries\jeffrja01,SF,28,HOU,18,0,18.4,2,4.7,0.429,0.1,0.5,0.111,1.9,4.2,0.467,0.435,0.8,1.5,0.556,1.7,1.9,3.6,1,0.5,0.7,0.8,2.6,4.9
230,Brandon Jennings\jennibr01,PG,20,MIL,82,82,32.6,5.5,14.8,0.371,1.8,4.7,0.374,3.7,10.1,0.37,0.431,2.7,3.3,0.817,0.6,2.8,3.4,5.7,1.3,0.2,2.4,2.3,15.5
231,Jonas Jerebko\jerebjo01,PF,22,DET,80,73,27.9,3.6,7.5,0.481,0.5,1.4,0.313,3.2,6.1,0.52,0.511,1.6,2.2,0.71,2.4,3.6,6,0.7,1,0.4,1,2.9,9.3
232,Yi Jianlian\jianlyi01,PF,22,NJN,52,51,31.8,4.4,10.8,0.403,0.3,0.8,0.366,4.1,10,0.406,0.417,3,3.7,0.798,2.2,4.9,7.2,0.9,0.7,1,1.5,3.3,12
233,Amir Johnson\johnsam01,PF,22,TOR,82,5,17.7,2.5,4.1,0.623,0,0,0,2.5,4,0.63,0.623,1.2,1.8,0.638,1.9,2.9,4.8,0.6,0.5,0.8,0.8,3.1,6.2
234,Anthony Johnson\johnsan02,PG,35,ORL,31,0,13.1,1.6,3.6,0.441,0.4,1.3,0.333,1.2,2.3,0.5,0.5,0.6,0.6,0.95,0.3,1.3,1.5,2,0.4,0,0.8,1,4.2
235,James Johnson\johnsja01,PF,22,CHI,65,11,11.6,1.5,3.2,0.452,0.2,0.7,0.326,1.2,2.5,0.488,0.488,0.8,1.1,0.729,0.5,1.4,2,0.7,0.3,0.7,1,1.9,3.9
236,Joe Johnson\johnsjo02,SG,28,ATL,76,76,38,8.4,18.2,0.458,1.7,4.6,0.369,6.7,13.6,0.488,0.505,2.9,3.5,0.818,1,3.7,4.6,4.9,1.1,0.1,1.9,1.9,21.3
237,Dahntay Jones\jonesda02,SF,29,IND,76,26,24.9,3.8,8.2,0.461,0.1,0.4,0.125,3.7,7.8,0.479,0.464,2.6,3.4,0.77,0.6,2.4,3,2,0.5,0.5,1.7,3.1,10.2
238,Dwayne Jones\jonesdw02,PF,26,PHO,2,0,3.5,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0.5,0
239,James Jones\jonesja02,SF,29,MIA,36,6,14,1.2,3.3,0.361,1,2.5,0.411,0.2,0.8,0.207,0.517,0.6,0.8,0.821,0.1,1.1,1.3,0.5,0.3,0.1,0.3,1.3,4.1
240,Solomon Jones\jonesso01,C,25,IND,52,2,13,1.5,3.4,0.443,0,0.1,0,1.5,3.3,0.451,0.443,1,1.4,0.718,1,1.8,2.8,0.6,0.3,0.7,0.8,2.4,4
241,DeAndre Jordan\jordade01,C,21,LAC,70,12,16.2,2.1,3.4,0.605,0,0,0,2.1,3.4,0.61,0.605,0.7,1.8,0.375,1.7,3.3,5,0.3,0.2,0.9,1.1,2.2,4.8
242,Chris Kaman\kamanch01,C,27,LAC,76,76,34.3,7.8,15.8,0.49,0,0.1,0,7.8,15.7,0.492,0.49,3,4,0.749,2.4,6.8,9.3,1.6,0.5,1.2,2.9,2.8,18.5
243,Jason Kapono\kaponja01,SF,28,PHI,57,12,17.1,2.2,5.3,0.419,1.1,3,0.368,1.1,2.3,0.485,0.523,0.2,0.3,0.6,0.2,0.9,1.2,0.7,0.4,0.1,0.6,1.4,5.7
244,Coby Karl\karlco01,SF-SG,26,TOT,7,1,16.1,1.6,4.6,0.344,0.3,1.6,0.182,1.3,3,0.429,0.375,0.6,0.9,0.667,0.6,2,2.6,2.1,0.4,0.1,1.4,2,4
244,Coby Karl\karlco01,SG,26,CLE,3,0,1.7,0,0,,0,0,,0,0,,,0,0,,0,0.7,0.7,0,0,0,1.3,0,0
244,Coby Karl\karlco01,SF,26,GSW,4,1,27,2.8,8,0.344,0.5,2.8,0.182,2.3,5.3,0.429,0.375,1,1.5,0.667,1,3,4,3.8,0.8,0.3,1.5,3.5,7
245,Jason Kidd*\kiddja01,PG,36,DAL,80,80,36,3.6,8.4,0.423,2.2,5.2,0.425,1.4,3.2,0.42,0.554,1,1.2,0.808,0.6,5,5.6,9.1,1.8,0.4,2.4,1.8,10.3
246,Andrei Kirilenko\kirilan01,SF,28,UTA,58,35,29,4.2,8.3,0.506,0.4,1.5,0.292,3.8,6.8,0.555,0.533,3,4,0.744,1.3,3.2,4.6,2.7,1.4,1.2,1.4,1.8,11.9
247,Kyle Korver\korveky01,SG,28,UTA,52,0,18.3,2.7,5.4,0.493,1.1,2.1,0.536,1.5,3.3,0.465,0.598,0.8,0.9,0.796,0.2,1.9,2.1,1.7,0.5,0.2,0.8,1.5,7.2
